##culture:mono#seed:7#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(1750, 1250, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
7,mono,0,0,5.300000000000001
7,mono,0,1,5.300000000000001
7,mono,0,2,5.300000000000001
7,mono,0,3,5.300000000000001
7,mono,0,4,5.300000000000001
7,mono,0,5,5.4
7,mono,0,6,5.4
7,mono,0,7,5.5
7,mono,0,8,6.0
7,mono,0,9,7.300000000000001
7,mono,1,0,5.300000000000001
7,mono,1,1,5.300000000000001
7,mono,1,2,5.300000000000001
7,mono,1,3,5.300000000000001
7,mono,1,4,5.4
7,mono,1,5,5.4
7,mono,1,6,5.4
7,mono,1,7,5.5
7,mono,1,8,5.800000000000001
7,mono,1,9,6.4
7,mono,2,0,5.4
7,mono,2,1,5.4
7,mono,2,2,5.5
7,mono,2,3,6.2
7,mono,2,4,7.7
7,mono,2,5,9.0
7,mono,2,6,9.4
7,mono,2,7,9.5
7,mono,2,8,9.600000000000001
7,mono,2,9,9.600000000000001
7,mono,3,0,5.300000000000001
7,mono,3,1,5.300000000000001
7,mono,3,2,5.300000000000001
7,mono,3,3,5.300000000000001
7,mono,3,4,5.300000000000001
7,mono,3,5,5.300000000000001
7,mono,3,6,5.300000000000001
7,mono,3,7,5.300000000000001
7,mono,3,8,5.4
7,mono,3,9,5.4
7,mono,4,0,5.300000000000001
7,mono,4,1,5.4
7,mono,4,2,5.4
7,mono,4,3,5.5
7,mono,4,4,5.800000000000001
7,mono,4,5,6.6000000000000005
7,mono,4,6,7.9
7,mono,4,7,8.9
7,mono,4,8,9.3
7,mono,4,9,9.5
