seed,culture,rep,cycle,tol_time
733,co,0,0,4.89
733,co,0,1,4.88
733,co,0,2,4.88
733,co,0,3,4.88
733,co,0,4,4.98
733,co,0,5,5.21
733,co,0,6,5.29
733,co,0,7,5.37
733,co,0,8,5.46
733,co,0,9,5.58
733,co,1,0,5.91
733,co,1,1,7.13
733,co,1,2,7.59
733,co,1,3,7.82
733,co,1,4,7.99
733,co,1,5,8.120000000000001
733,co,1,6,8.24
733,co,1,7,8.33
733,co,1,8,8.4
733,co,1,9,8.45
733,co,2,0,4.89
733,co,2,1,4.88
733,co,2,2,4.88
733,co,2,3,4.88
733,co,2,4,6.38
733,co,2,5,7.5
733,co,2,6,8.71
733,co,2,7,9.14
733,co,2,8,9.52
733,co,2,9,9.870000000000001
733,co,3,0,4.89
733,co,3,1,4.88
733,co,3,2,4.88
733,co,3,3,4.88
733,co,3,4,4.88
733,co,3,5,4.88
733,co,3,6,4.88
733,co,3,7,4.88
733,co,3,8,4.88
733,co,3,9,4.88
733,co,4,0,4.89
733,co,4,1,4.88
733,co,4,2,4.88
733,co,4,3,4.88
733,co,4,4,4.88
733,co,4,5,5.22
733,co,4,6,5.4
733,co,4,7,5.5600000000000005
733,co,4,8,5.68
733,co,4,9,5.76
