seed,culture,rep,cycle,tol_time
733,mono,0,0,5.3
733,mono,0,1,5.29
733,mono,0,2,5.29
733,mono,0,3,5.29
733,mono,0,4,5.29
733,mono,0,5,5.29
733,mono,0,6,5.3
733,mono,0,7,5.33
733,mono,0,8,5.48
733,mono,0,9,6.15
733,mono,1,0,5.3
733,mono,1,1,5.3
733,mono,1,2,5.32
733,mono,1,3,5.38
733,mono,1,4,5.55
733,mono,1,5,5.94
733,mono,1,6,6.5200000000000005
733,mono,1,7,7.0
733,mono,1,8,7.25
733,mono,1,9,7.34
733,mono,2,0,5.3
733,mono,2,1,5.3
733,mono,2,2,5.3100000000000005
733,mono,2,3,5.37
733,mono,2,4,5.67
733,mono,2,5,6.8100000000000005
733,mono,2,6,8.48
733,mono,2,7,9.28
733,mono,2,8,9.49
733,mono,2,9,9.55
733,mono,3,0,5.3
733,mono,3,1,5.29
733,mono,3,2,5.29
733,mono,3,3,5.29
733,mono,3,4,5.3
733,mono,3,5,5.34
733,mono,3,6,5.57
733,mono,3,7,6.59
733,mono,3,8,8.53
733,mono,3,9,9.55
733,mono,4,0,5.3100000000000005
733,mono,4,1,5.33
733,mono,4,2,5.46
733,mono,4,3,6.0200000000000005
733,mono,4,4,7.43
733,mono,4,5,8.6
733,mono,4,6,9.0
733,mono,4,7,9.09
733,mono,4,8,9.1
733,mono,4,9,9.11
