seed,culture,rep,gen,tol_time
215Ta3,co,0,0,0
215Ta3,co,0,1,0
215Ta3,co,0,2,0
215Ta3,co,0,3,0
215Ta3,co,0,4,0
215Ta3,co,0,5,0
215Ta3,co,0,6,0
215Ta3,co,0,7,0
215Ta3,co,0,8,0
215Ta3,co,0,9,0
215Ta3,co,0,10,0
215Ta3,co,0,11,0
215Ta3,co,0,12,0
215Ta3,co,0,13,0
215Ta3,co,0,14,0
215Ta3,co,0,15,0
215Ta3,co,0,16,0
215Ta3,co,0,17,0
215Ta3,co,0,18,0
215Ta3,co,0,19,0
215Ta3,co,1,0,0
215Ta3,co,1,1,0
215Ta3,co,1,2,0
215Ta3,co,1,3,0
215Ta3,co,1,4,0
215Ta3,co,1,5,0
215Ta3,co,1,6,0
215Ta3,co,1,7,0
215Ta3,co,1,8,0
215Ta3,co,1,9,0
215Ta3,co,1,10,0
215Ta3,co,1,11,0
215Ta3,co,1,12,0
215Ta3,co,1,13,-1
215Ta3,co,1,14,-1
215Ta3,co,1,15,-1
215Ta3,co,1,16,-1
215Ta3,co,1,17,-1
215Ta3,co,1,18,-1
215Ta3,co,1,19,-1
215Ta3,co,2,0,0
215Ta3,co,2,1,0
215Ta3,co,2,2,0
215Ta3,co,2,3,0
215Ta3,co,2,4,0
215Ta3,co,2,5,0
215Ta3,co,2,6,0
215Ta3,co,2,7,0
215Ta3,co,2,8,0
215Ta3,co,2,9,0
215Ta3,co,2,10,0
215Ta3,co,2,11,0
215Ta3,co,2,12,0
215Ta3,co,2,13,0
215Ta3,co,2,14,-1
215Ta3,co,2,15,-1
215Ta3,co,2,16,-1
215Ta3,co,2,17,-1
215Ta3,co,2,18,-1
215Ta3,co,2,19,-1
215Ta3,co,3,0,0
215Ta3,co,3,1,0
215Ta3,co,3,2,-1
215Ta3,co,3,3,-1
215Ta3,co,3,4,-1
215Ta3,co,3,5,-1
215Ta3,co,3,6,-1
215Ta3,co,3,7,-1
215Ta3,co,3,8,-1
215Ta3,co,3,9,-1
215Ta3,co,3,10,-1
215Ta3,co,3,11,0
215Ta3,co,3,12,0
215Ta3,co,3,13,0
215Ta3,co,3,14,0
215Ta3,co,3,15,0
215Ta3,co,3,16,0
215Ta3,co,3,17,-1
215Ta3,co,3,18,-1
215Ta3,co,3,19,-1
215Ta3,co,4,0,0
215Ta3,co,4,1,0
215Ta3,co,4,2,0
215Ta3,co,4,3,0
215Ta3,co,4,4,0
215Ta3,co,4,5,0
215Ta3,co,4,6,0
215Ta3,co,4,7,0
215Ta3,co,4,8,0
215Ta3,co,4,9,0
215Ta3,co,4,10,0
215Ta3,co,4,11,0
215Ta3,co,4,12,0
215Ta3,co,4,13,0
215Ta3,co,4,14,0
215Ta3,co,4,15,0
215Ta3,co,4,16,0
215Ta3,co,4,17,0
215Ta3,co,4,18,0
215Ta3,co,4,19,0
215Ta3,co,5,0,0
215Ta3,co,5,1,0
215Ta3,co,5,2,0
215Ta3,co,5,3,0
215Ta3,co,5,4,0
215Ta3,co,5,5,0
215Ta3,co,5,6,0
215Ta3,co,5,7,0
215Ta3,co,5,8,0
215Ta3,co,5,9,0
215Ta3,co,5,10,0
215Ta3,co,5,11,0
215Ta3,co,5,12,0
215Ta3,co,5,13,0
215Ta3,co,5,14,0
215Ta3,co,5,15,0
215Ta3,co,5,16,0
215Ta3,co,5,17,0
215Ta3,co,5,18,0
215Ta3,co,5,19,0
215Ta3,co,6,0,0
215Ta3,co,6,1,0
215Ta3,co,6,2,0
215Ta3,co,6,3,0
215Ta3,co,6,4,0
215Ta3,co,6,5,0
215Ta3,co,6,6,0
215Ta3,co,6,7,0
215Ta3,co,6,8,0
215Ta3,co,6,9,0
215Ta3,co,6,10,0
215Ta3,co,6,11,0
215Ta3,co,6,12,0
215Ta3,co,6,13,0
215Ta3,co,6,14,0
215Ta3,co,6,15,0
215Ta3,co,6,16,0
215Ta3,co,6,17,-1
215Ta3,co,6,18,-1
215Ta3,co,6,19,-1
215Ta3,co,7,0,0
215Ta3,co,7,1,0
215Ta3,co,7,2,0
215Ta3,co,7,3,0
215Ta3,co,7,4,0
215Ta3,co,7,5,0
215Ta3,co,7,6,0
215Ta3,co,7,7,0
215Ta3,co,7,8,0
215Ta3,co,7,9,0
215Ta3,co,7,10,0
215Ta3,co,7,11,0
215Ta3,co,7,12,0
215Ta3,co,7,13,0
215Ta3,co,7,14,0
215Ta3,co,7,15,0
215Ta3,co,7,16,0
215Ta3,co,7,17,-1
215Ta3,co,7,18,-1
215Ta3,co,7,19,-1
215Ta3,co,8,0,0
215Ta3,co,8,1,0
215Ta3,co,8,2,0
215Ta3,co,8,3,0
215Ta3,co,8,4,0
215Ta3,co,8,5,0
215Ta3,co,8,6,0
215Ta3,co,8,7,0
215Ta3,co,8,8,0
215Ta3,co,8,9,0
215Ta3,co,8,10,0
215Ta3,co,8,11,0
215Ta3,co,8,12,0
215Ta3,co,8,13,0
215Ta3,co,8,14,0
215Ta3,co,8,15,0
215Ta3,co,8,16,0
215Ta3,co,8,17,0
215Ta3,co,8,18,0
215Ta3,co,8,19,0
215Ta3,co,9,0,0
215Ta3,co,9,1,0
215Ta3,co,9,2,0
215Ta3,co,9,3,0
215Ta3,co,9,4,0
215Ta3,co,9,5,0
215Ta3,co,9,6,0
215Ta3,co,9,7,0
215Ta3,co,9,8,0
215Ta3,co,9,9,0
215Ta3,co,9,10,0
215Ta3,co,9,11,0
215Ta3,co,9,12,0
215Ta3,co,9,13,0
215Ta3,co,9,14,0
215Ta3,co,9,15,0
215Ta3,co,9,16,0
215Ta3,co,9,17,0
215Ta3,co,9,18,0
215Ta3,co,9,19,0
